U+5143|yuán(325)
U+5144|xiōng(97) xiong(25)
U+5145|chōng(375)
U+5148|xiān(1962)
U+5149|guāng(1636)
U+514B|kè(172)
U+514D|miǎn(193)
U+5152|r(3254) ér(581)
U+5154|tù(100)
U+515A|dǎng(2652)
U+515C|dōu(43)
U+5165|rù(784)
U+5167|nèi(1434)
U+5168|quán(2824)
U+5169|liǎng(3229)
U+516B|bā(1123)
U+516C|gōng(1289)
U+516D|liù(1035)
U+5171|gòng(1298)
U+5173|guān(1758)
U+5174|xìng(499) xīng(164)
U+5175|bīng(536)
U+5176|qí(1458)
U+5177|jù(705) ju(30)
U+5178|diǎn(98)
U+517B|yǎng(430)
U+517C|jiān(40)
U+517D|shòu(40)
U+5185|nèi(1434)
U+5188|gāng(37)
U+518A|cè(21)
U+518C|cè(21)
U+518D|zài(1697)
U+5192|mào(187)
U+5199|xiě(1171)
U+519B|jūn(1842)
U+519C|nóng(1281)
U+51A4|yuān(48)
U+51AC|dōng(272)
U+51B0|bīng(167)
U+51B2|chōng(428) chòng(33)
U+51B3|jué(1503)
U+51B5|kuàng(719)
U+51B6|yě(61)
U+51B7|lěng(453)
U+51BB|dòng(133)
U+51C0|jìng(152)
U+51C4|qī(16)
U+51C6|zhǔn(897)
U+51C9|liáng(129)
U+51CD|dòng(133)
U+51CF|jiǎn(300)
U+51D1|còu(69)
U+51DD|níng(138)
U+51E0|jǐ(2523) jī(216)
U+51E1|fán(135)
U+51E4|fèng(16)
U+51EB|fú(12)
U+51ED|píng(134)
U+51F0|huáng(16)
U+51F3|dèng(87)
U+51F6|xiōng(78)
U+51F8|tū(31)
U+51F9|āo(31)
U+51FA|chū(6753)
U+51FB|jī(644)
U+51FF|záo(34)
U+5200|dāo(284)
U+5206|fēn(2405) fèn(559) fen(532)
U+5207|qiè(998) qiē(70)
U+520A|kān(50)
U+5211|xíng(115)
U+5212|huà(438) huá(68)
U+5217|liè(270)
U+5219|zé(535)
U+521A|gāng(873)
U+521B|chuàng(435) chuāng(13)
U+521D|chū(405)
U+5224|pàn(252)
U+5225|bié(2043) biè(14)
U+5228|páo(12)
U+5229|lì(1593) li(16)
U+522B|bié(2043) biè(14)
U+522E|guā(105)
U+5230|dào(10331) dao(18)
U+5236|zhì(1850)
U+5237|shuā(140)
U+5239|shā(17) chà(14)
U+523A|cì(162)
U+523B|kè(653)
U+5242|jì(79)
U+5247|zé(535)
U+524A|xuē(194) xiāo(33)
U+524D|qián(3617)
U+524E|shā(17) chà(14)
U+5251|jiàn(79)
U+5254|tī(12)
U+5256|pōu(24)
U+525B|gāng(873)
U+525D|bō(212)
U+5265|bō(212)
U+5267|jù(123)
U+5269|shèng(199)
U+526A|jiǎn(39)
U+526F|fù(313)
U+5272|gē(128)
U+5275|chuàng(435) chuāng(13)
U+527F|jiǎo(25)
U+5287|jù(123)
U+5288|pī(17)
U+528D|jiàn(79)
U+5291|jì(79)
U+529B|lì(2488) li(97)
U+529D|quàn(121)
U+529E|bàn(1187)
U+529F|gōng(381)
U+52A0|jiā(1861)
U+52A1|wu(473) wù(445)
U+52A3|liè(26)
U+52A8|dòng(5030)
U+52A9|zhù(464)
U+52AA|nǔ(251)
U+52B1|lì(93)
U+52B2|jìn(294)
U+52B3|láo(856)
U+52BF|shì(442) shi(10)
U+52C1|jìn(294)
U+52C3|bó(54)
U+52C7|yǒng(223)
U+52C9|miǎn(37)
U+52D2|lēi(13)
U+52D5|dòng(5030)
U+52D8|kān(13)
U+52D9|wu(473) wù(445)
U+52DD|shèng(745)
U+52DE|láo(856)
