U+4E00|IL
U+4E01|CENG
U+4E02|KYO
U+4E03|CHIL
U+4E04|SANG
U+4E05|HA
U+4E07|MAN MWUK
U+4E08|CANG
U+4E09|SAM
U+4E0A|SANG
U+4E0B|HA
U+4E0C|KI
U+4E0D|PWU PWUL
U+4E0E|YE
U+4E0F|MYEN
U+4E10|KAL KAY
U+4E11|CHWUK CHWU
U+4E14|CHA CE
U+4E15|PI
U+4E16|SEY
U+4E18|KWU
U+4E19|PYENG
U+4E1E|SUNG
U+4E1F|CWU
U+4E20|KWU
U+4E21|LYANG
U+4E22|CWU
U+4E23|YU
U+4E24|LYANG
U+4E26|PYENG
U+4E28|KON
U+4E29|KWU
U+4E2A|KAY KA
U+4E2B|A
U+4E2D|CWUNG
U+4E2E|KUK
U+4E30|PONG
U+4E31|KWAN
U+4E32|KOC KWAN CHEN
U+4E33|CHAN
U+4E35|CHAK
U+4E36|CWU
U+4E37|HA
U+4E38|HWAN
U+4E39|TAN
U+4E3B|CWU
U+4E3C|CENG
U+4E3F|PYEL
U+4E40|PWUL
U+4E42|YEY
U+4E43|NAY
U+4E45|KWU
U+4E46|KWU
U+4E47|CEK
U+4E48|YO
U+4E4B|CI
U+4E4D|SA
U+4E4E|HO
U+4E4F|PHIP
U+4E51|IM
U+4E56|KOY
U+4E57|SUNG
U+4E58|SUNG
U+4E59|UL
U+4E5C|MYA
U+4E5D|KWU KYU
U+4E5E|KEL KI
U+4E5F|YA
U+4E63|KYU
U+4E64|HAL
U+4E67|TWUL
U+4E68|SI
U+4E69|KYEY
U+4E6B|KAL
U+4E6C|KEL
U+4E6D|TOL
U+4E6F|OL
U+4E71|LAN
U+4E72|CAL
U+4E73|YU
U+4E76|PHOL
U+4E77|SAL
U+4E7A|SOL
U+4E7B|EL
U+4E7C|CWUL
U+4E7E|KAN KEN
U+4E80|KWI KYUN
U+4E81|KEN KAN
U+4E82|LAN
U+4E84|UY
U+4E85|KWEL
U+4E86|LYO
U+4E87|MA
U+4E88|YE
U+4E8A|SA
U+4E8B|SA
U+4E8C|I
U+4E8D|CHOK MA
U+4E8E|WU
U+4E8F|YU WU
U+4E90|WUL
U+4E91|WUN
U+4E92|HO
U+4E93|KI
U+4E94|O
U+4E95|CENG
U+4E98|SEN HWAN
U+4E99|KUNG
U+4E9B|SA
U+4E9C|A
U+4E9D|CEY
U+4E9E|A
U+4E9F|KUK KI
U+4EA0|TWU
U+4EA1|MANG MWU
U+4EA2|HANG
U+4EA4|KYO
U+4EA5|HAY
U+4EA6|YEK
U+4EA8|HYENG PHAYNG
U+4EAB|HYANG
U+4EAC|KYENG
U+4EAD|CENG
U+4EAE|LYANG
U+4EB0|KYENG
U+4EB1|YA
U+4EB3|PAK
U+4EB4|YU
U+4EB6|TAN
U+4EB7|LYEM
U+4EB9|MI MWUN
U+4EBA|IN
U+4EBB|IN
U+4EBD|LA
U+4EBE|MANG MWU
U+4EC0|SIP CIP
U+4EC1|IN
U+4EC2|LUK
U+4EC4|CHUK
U+4EC6|PWU
U+4EC7|KWU
U+4ECA|KUM
U+4ECB|KAY
U+4ECD|ING
U+4ECE|CONG
U+4ECF|PWUL
U+4ED2|SYA
U+4ED4|CA
U+4ED5|SA
U+4ED6|THA
U+4ED7|CANG
U+4ED8|PWU
U+4ED9|SEN
U+4EDA|HEN
U+4EDB|CHA THAK
U+4EDD|TONG
U+4EDE|IN
U+4EDF|CHEN
U+4EE1|HUL
U+4EE2|CAK
U+4EE3|TAY
U+4EE4|LYENG
U+4EE5|I
U+4EED|IN
U+4EEE|KA PAN
U+4EF0|ANG
U+4EF2|CWUNG
U+4EF3|PI
U+4EF5|O
U+4EF6|KEN
U+4EF7|KAY
U+4EFB|IM
U+4EFD|PIN
U+4EFF|PANG
U+4F00|CONG
U+4F01|KI
U+4F03|YE
U+4F05|TON
U+4F07|YEK
U+4F08|SIM CHIM
U+4F09|HANG
U+4F0A|I
U+4F0B|KUP
U+4F0D|O
U+4F0E|KI
U+4F0F|POK PWU PWUK
U+4F10|PEL
U+4F11|HYU
U+4F19|HWA
U+4F1A|HOY KOY
U+4F1C|COL
U+4F1D|CEN
U+4F23|HYEN
U+4F29|SIN
U+4F2F|PAYK PHAY
U+4F30|KO
U+4F34|PAN
U+4F36|LYENG
U+4F38|SIN
U+4F3A|SA
U+4F3B|PHAYNG
U+4F3C|SA
U+4F3D|KA
U+4F3E|PI
U+4F40|SA
U+4F41|I
U+4F42|CENG
U+4F43|CEN
U+4F46|TAN
U+4F47|CE
U+4F48|PHO
U+4F49|KWU KE
U+4F4A|PHI
U+4F4B|SO
U+4F4D|WI
U+4F4E|CE
U+4F4F|CWU
U+4F50|CWA
U+4F51|WU
U+4F52|ANG
U+4F53|PWUN CHEY
U+4F54|CEM
U+4F55|HA
U+4F56|PHIL
U+4F57|THA
U+4F58|SA
U+4F59|YE
U+4F5A|IL CIL
U+4F5B|PWUL PHIL
U+4F5C|CAK CWU
U+4F5D|KWU
U+4F5E|NYENG
U+4F5F|TONG
U+4F60|NI
U+4F69|PHAY
U+4F6A|HOY
U+4F6F|YANG
U+4F70|PEYK
U+4F73|KA KAY
U+4F74|I
U+4F75|PYENG
U+4F76|KIL
U+4F77|HANG HAN
U+4F78|KWAL
U+4F79|KWEY
U+4F7A|CEN
U+4F7B|CO
U+4F7C|KYO
U+4F7D|CHA
U+4F7E|IL
U+4F7F|SA SI
U+4F80|HYENG
U+4F81|SIN
U+4F82|THAK
U+4F83|KAN
U+4F84|CIL
U+4F85|HAY
U+4F86|LAY
